,date,protocol,chain,usd_value,name,category,parentProtocol,net_dollar_flow,cumul_net_dollar_flow,rank_desc,pct_of_tvl,flow_direction,abs_cumul_net_dollar_flow
13246,2022-09-12 17:59:07,idle-finance,Ethereum,44540453.7182,Idle Finance,Yield Aggregator,Idle Finance,-167539.5370605361,-13417728.849101365,1,-0.37615139289000227,-1,13417728.849101365
12911,2022-09-12 17:59:02,yeti-finance,Avalanche,56329745.2181,Yeti Finance,CDP,Yeti Finance,-70846.09923995413,-15430263.777174732,1,-0.12577031720212664,-1,15430263.777174732
13384,2022-09-12 17:59:07,nomiswap,Binance,38894587.84349,Nomiswap,Dexes,Nomiswap,-1187210.3332582247,-16852610.745270528,1,-3.052379261699606,-1,16852610.745270528
12533,2022-09-12 17:59:02,curve,Avalanche,71284062.20643,Curve,Dexes,Curve,-2353290.3151789093,-17853058.605315227,1,-3.3012853677783762,-1,17853058.605315227
13008,2022-09-12 17:59:07,benqi-lending,Avalanche,205397093.69088,Benqi Lending,Lending,Benqi,-906284.9848284656,-20517388.000059433,1,-0.4412355445459286,-1,20517388.000059433
13593,2022-09-12 17:59:07,stargate,Avalanche,96701697.46823,Stargate,Cross Chain,Stargate,-3414583.4088935787,-20570439.126580138,1,-3.531048056333647,-1,20570439.126580138
12583,2022-09-12 17:59:02,euler,Ethereum,230894248.01334,Euler,Lending,Euler,128330.50279280776,-20633763.74266083,1,0.05557977467909613,-1,20633763.74266083
13710,2022-09-12 17:59:07,vector-finance,Avalanche,99710264.24794,Vector Finance,Yield,Vector Finance,-1606809.1576504677,-21545301.23552607,1,-1.611478186092225,-1,21545301.23552607
13330,2022-09-12 17:59:07,maple,Ethereum,18565373.69275,Maple,RWA,Maple,-27664949.96615036,-25213681.489217207,1,-149.0136984258704,-1,25213681.489217207
13778,2022-09-12 18:02:14,radiant,Arbitrum,55714332.41398,Radiant,Lending,Radiant,-728138.595937807,-26866432.681903835,1,-1.3069143331511952,-1,26866432.681903835
12766,2022-09-12 17:59:02,polygon-bridge-&-staking,Polygon,7729763115.29124,Polygon Bridge & Staking,Chain,Polygon Bridge & Staking,-15846766.25743426,-31147534.385552924,1,-0.20500972696156408,-1,31147534.385552924
12758,2022-09-12 17:59:02,platypus-finance,Avalanche,130846574.67434001,Platypus Finance,Dexes,Platypus Finance,-2246104.4716693102,-32149452.046445757,1,-1.716594016510994,-1,32149452.046445757
