,date,token,token_value,usd_value,protocol,chain,last_token_value
12626,2022-10-10 00:00:00,SPANK,,,uniswap,Optimism,
17774,2022-10-10 00:00:00,BOB,,,uniswap,Optimism,
8414,2022-10-10 00:00:00,ENS,,,uniswap,Optimism,
7946,2022-10-10 00:00:00,PAPER,,,uniswap,Optimism,
18242,2022-10-10 00:00:00,AELIN,,,uniswap,Optimism,
14030,2022-10-10 00:00:00,XCHF,,,uniswap,Optimism,
1394,2022-10-10 00:00:00,0XBTC,,,uniswap,Optimism,
5138,2022-10-10 00:00:00,LINK,,,uniswap,Optimism,
11222,2022-10-10 00:00:00,KROM,,,uniswap,Optimism,
2798,2022-10-10 00:00:00,UNI,,,uniswap,Optimism,
7478,2022-10-10 00:00:00,RETH,,,uniswap,Optimism,
9350,2022-10-10 00:00:00,SARCO,,,uniswap,Optimism,
15902,2022-10-10 00:00:00,OP,,,uniswap,Optimism,
10754,2022-10-10 00:00:00,WPC,,,uniswap,Optimism,
17306,2022-10-10 00:00:00,AAVE,,,uniswap,Optimism,
3734,2022-10-10 00:00:00,SUSD,,,uniswap,Optimism,
6542,2022-10-10 00:00:00,SNX,,,uniswap,Optimism,
16370,2022-10-10 00:00:00,CRV,,,uniswap,Optimism,
15434,2022-10-10 00:00:00,EQZ,,,uniswap,Optimism,
7010,2022-10-10 00:00:00,RGT,,,uniswap,Optimism,
5606,2022-10-10 00:00:00,USDC,,,uniswap,Optimism,
12158,2022-10-10 00:00:00,PERP,,,uniswap,Optimism,
3266,2022-10-10 00:00:00,WBTC,,,uniswap,Optimism,
13094,2022-10-10 00:00:00,DHT,,,uniswap,Optimism,
11690,2022-10-10 00:00:00,MKR,,,uniswap,Optimism,
4202,2022-10-10 00:00:00,SLINK,,,uniswap,Optimism,
14498,2022-10-10 00:00:00,HND,,,uniswap,Optimism,
16838,2022-10-10 00:00:00,WSTETH,,,uniswap,Optimism,
2330,2022-10-10 00:00:00,DAI,,,uniswap,Optimism,
6074,2022-10-10 00:00:00,RAI,,,uniswap,Optimism,
