,date,protocol,chain,usd_value,net_dollar_flow,net_dollar_flow_latest_price,rank_desc,mark_at_latest_price,cumul_net_dollar_flow,flow_direction,abs_cumul_net_dollar_flow,cumul_net_dollar_flow_1d,flow_direction_1d,abs_cumul_net_dollar_flow_1d,cumul_net_dollar_flow_7d,flow_direction_7d,abs_cumul_net_dollar_flow_7d,cumul_net_dollar_flow_30d,flow_direction_30d,abs_cumul_net_dollar_flow_30d,cumul_net_dollar_flow_90d,flow_direction_90d,abs_cumul_net_dollar_flow_90d,cumul_net_dollar_flow_180d,flow_direction_180d,abs_cumul_net_dollar_flow_180d,cumul_net_dollar_flow_365d,flow_direction_365d,abs_cumul_net_dollar_flow_365d,pct_of_tvl
272495,2023-01-06 00:00:00,shibaswap,Ethereum,25984697.171240002,-107110.79778118484,-107110.79778118484,1,1,-76771870.24043103,-1,76771870.24043103,-107110.79778118484,-1,107110.79778118484,-316024.0236412574,-1,316024.0236412574,6504494.759835662,1,6504494.759835662,3125689.3433626466,1,3125689.3433626466,-10631086.255655503,-1,10631086.255655503,-76771870.24043103,-1,76771870.24043103,-0.41220721979294656
272496,2023-01-06 00:00:00,sicx,Icon,11704026.45694,-53448.78526271533,-53448.78526271533,1,1,8886927.73354111,1,8886927.73354111,-53448.78526271533,-1,53448.78526271533,47422.67256049511,1,47422.67256049511,190111.92920337798,1,190111.92920337798,-343367.70795441844,-1,343367.70795441844,-3029366.979875421,-1,3029366.979875421,8886927.73354111,1,8886927.73354111,-0.4566700652921237
272497,2023-01-06 00:00:00,silo-finance,Ethereum,17948911.184159998,0.0,0.0,1,1,17920522.303212244,1,17920522.303212244,0.0,1,0.0,165453.24119583602,1,165453.24119583602,242372.96075369947,1,242372.96075369947,17248650.290649947,1,17248650.290649947,17920522.303212244,1,17920522.303212244,17920522.303212244,1,17920522.303212244,0.0
272500,2023-01-06 00:00:00,solarbeam,Moonriver,15404364.10582,136153.0463556397,136153.0463556397,1,1,13110293.292669699,1,13110293.292669699,136153.0463556397,1,136153.0463556397,-875893.6276943187,-1,875893.6276943187,1783789.3068902004,1,1783789.3068902004,-608269.1512974193,-1,608269.1512974193,-11922336.07286145,-1,11922336.07286145,13139582.168594798,1,13139582.168594798,0.8838602192231942
272501,2023-01-06 00:00:00,solend,Solana,19141763.836209998,-476282.91153458797,-476282.91153458797,1,1,-105855007.97505628,-1,105855007.97505628,-476282.91153458797,-1,476282.91153458797,661205.558540898,1,661205.558540898,-493253.935150114,-1,493253.935150114,-141019523.79285303,-1,141019523.79285303,-111270257.1195109,-1,111270257.1195109,-108794492.40350325,-1,108794492.40350325,-2.488187168173162
272504,2023-01-06 00:00:00,solidlydex,Ethereum,9515759.49946,199324.15370759106,199324.15370759106,1,1,9405635.87617247,1,9405635.87617247,199324.15370759106,1,199324.15370759106,9405635.87617247,1,9405635.87617247,9405635.87617247,1,9405635.87617247,9405635.87617247,1,9405635.87617247,9405635.87617247,1,9405635.87617247,9405635.87617247,1,9405635.87617247,2.0946741426041955
272397,2023-01-06 00:00:00,pnetwork,EOS,2468412.10309,-51821.37448000023,-51821.37448000023,1,1,-1526923.2004900002,-1,1526923.2004900002,-51821.37448000023,-1,51821.37448000023,1945268.8658699999,1,1945268.8658699999,2044536.9041199998,1,2044536.9041199998,913071.7591199997,1,913071.7591199997,485775.38980999985,1,485775.38980999985,-1526923.2004900002,-1,1526923.2004900002,-2.099380991331608
272472,2023-01-06 00:00:00,saddle-finance,Evmos,2492.57182,0.0,0.0,1,1,-206646.6495918425,-1,206646.6495918425,0.0,1,0.0,0.0,1,0.0,-26.017094332024786,-1,26.017094332024786,153.40387032842776,1,153.40387032842776,-129522.21276944391,-1,129522.21276944391,-206646.6495918425,-1,206646.6495918425,0.0
272444,2023-01-06 00:00:00,renvm,Ethereum,22979192.6045,-35458.22819140832,-35458.22819140832,1,1,-334109789.84857845,-1,334109789.84857845,-35458.22819140832,-1,35458.22819140832,-2961854.549936499,-1,2961854.549936499,-14476424.404082822,-1,14476424.404082822,-51453632.77209445,-1,51453632.77209445,-83178818.63779745,-1,83178818.63779745,-331738536.9398879,-1,331738536.9398879,-0.15430580526343018
272471,2023-01-06 00:00:00,saddle-finance,Ethereum,8181970.31774,-119.8964389569519,-119.8964389569519,1,1,-100889355.63939664,-1,100889355.63939664,-119.8964389569519,-1,119.8964389569519,-20493.50499977771,-1,20493.50499977771,-5352437.642944157,-1,5352437.642944157,-19069157.123861667,-1,19069157.123861667,-13813823.064779866,-1,13813823.064779866,-100889355.63939664,-1,100889355.63939664,-0.0014653736728547477
