,date,prices,total_volumes,symbol,prices_30dma,prices_30d_vwap,prices_90dma,prices_90d_vwap,prices_180dma,prices_180d_vwap,prices_365dma,prices_365d_vwap
110,2022-09-18 00:00:00,1.1327300531161755,79067919.5834367,op,1.1859562147247644,1.2001122747632604,1.0561526645712693,1.3216714424055664,1.0316632885465038,1.2675105496618668,1.0316632885465038,1.2675105496618668
109,2022-09-17 00:00:00,1.1027373163185274,140225566.39142329,op,1.1881902158307782,1.2010273801342828,1.0491993107056785,1.3201159853430935,1.0307444997776884,1.2680124250531686,1.0307444997776884,1.2680124250531686
108,2022-09-16 00:00:00,1.1287090126646377,239966175.90177715,op,1.1953387457368119,1.207650651380144,1.041958242221873,1.318259057199853,1.030084015222268,1.2691111290629855,1.030084015222268,1.2691111290629855
107,2022-09-15 00:00:00,1.2158252792395279,173471280.467457,op,1.2061231164077926,1.2204951628229446,1.0351852743466297,1.318424623440947,1.0291708208015053,1.270726746997999,1.0291708208015053,1.270726746997999
106,2022-09-14 00:00:00,1.179616816562625,245493679.8484079,op,1.2170119083892807,1.2314924265873286,1.0271115183730068,1.3143638459690434,1.0274263866104958,1.2711872731398324,1.0274263866104958,1.2711872731398324
105,2022-09-13 00:00:00,1.257539699978385,198643436.54187515,op,1.2257246094932377,1.240940322497335,1.020528921070076,1.3023224226758365,1.0259906278373623,1.2722873543524278,1.0259906278373623,1.2722873543524278
104,2022-09-12 00:00:00,1.3994281086894094,151504042.6155752,op,1.2350808966732472,1.2466899740916135,1.012895548101877,1.2964460626720256,1.0237853985788765,1.2724321210203613,1.0237853985788765,1.2724321210203613
103,2022-09-11 00:00:00,1.3916427046115818,249810590.48060182,op,1.243173397839366,1.2595378689092789,1.0032809823159428,1.286103557944874,1.0201734494431984,1.2714741567021122,1.0201734494431984,1.2714741567021122
102,2022-09-10 00:00:00,1.4114196025545491,348608242.74336493,op,1.248958737859934,1.271276945846771,0.9950802194425062,1.2775129581449354,1.0165669518202043,1.269960691840085,1.0165669518202043,1.269960691840085
101,2022-09-09 00:00:00,1.1803050561567379,154455706.88116997,op,1.2539127974917867,1.282662772092124,0.9878347506431788,1.2712408894162137,1.0126958474012402,1.2674299987954034,1.0126958474012402,1.2674299987954034
100,2022-09-08 00:00:00,1.1734407965779265,175843717.69779602,op,1.268913622949441,1.3023712722280507,0.98444030734453,1.2652152040436715,1.0110363502848492,1.268126102712989,1.0110363502848492,1.268126102712989
99,2022-09-07 00:00:00,1.103810454232256,300821075.80924195,op,1.29308233004546,1.3318847269365737,0.9805934773334487,1.2599586660048874,1.0094123058219184,1.2689952742850286,1.0094123058219184,1.2689952742850286
98,2022-09-06 00:00:00,1.1964542705466041,134880144.8086126,op,1.3200520848615358,1.3613239538295812,0.976411202434769,1.2584365033945548,1.0084587891713088,1.2716306870676297,1.0084587891713088,1.2716306870676297
97,2022-09-05 00:00:00,1.1713664839483777,104026279.18321908,op,1.3441399805840595,1.3903492884590953,0.9754977198718898,1.2571603933128723,1.0065404679327854,1.2721723358681267,1.0065404679327854,1.2721723358681267
96,2022-09-04 00:00:00,1.1938103308785795,110922863.23061335,op,1.3693631345544623,1.4309071016771622,0.9771948817779055,1.2586761714173218,1.0048412306542742,1.272735632305897,1.0048412306542742,1.272735632305897
95,2022-09-03 00:00:00,1.231996721870372,248929772.58926192,op,1.3935174307078528,1.4709325021348616,0.9769506957428038,1.2579657047349635,1.0028728025269376,1.2732087192405812,1.0028728025269376,1.2732087192405812
94,2022-09-02 00:00:00,1.1812929428118344,156454446.99207738,op,1.4190748583538595,1.5114593697988115,0.9787240576288696,1.260371457823126,1.0004609717970068,1.27377065391586,1.0004609717970068,1.27377065391586
93,2022-09-01 00:00:00,1.1251129070545747,184832632.17365962,op,1.4335084894060661,1.5236938310766304,0.9809247120980419,1.2641830102769878,0.9985372274245086,1.2745700245470268,0.9985372274245086,1.2745700245470268
92,2022-08-31 00:00:00,1.0785912603882484,189022367.6582016,op,1.4463612076168897,1.5330840558014236,0.9855881655375923,1.2764812119932272,0.997176198611282,1.276111995447714,0.997176198611282,1.276111995447714
91,2022-08-30 00:00:00,1.1745570261878193,220928934.56821695,op,1.4634136909461597,1.5463777012982116,0.9873549609948592,1.276964256962141,0.9962912522876194,1.2782182623875524,0.9962912522876194,1.2782182623875524
90,2022-08-29 00:00:00,1.06340182245853,127860479.169813,op,1.4843340332874015,1.571863260625685,0.9898423758201259,1.2789017624045893,0.9943322877392655,1.2795265503512576,0.9943322877392655,1.2795265503512576
89,2022-08-28 00:00:00,1.0328945886354706,125852468.64278378,op,1.509937105429496,1.6075813742712928,0.993564848464607,1.2811167767265237,0.993564848464607,1.2811167767265237,0.993564848464607,1.2811167767265237
88,2022-08-27 00:00:00,1.0160141023612492,163408581.63920686,op,1.5233099052275842,1.6042303474990631,0.993122941271676,1.2829276049891318,0.993122941271676,1.2829276049891318,0.993122941271676,1.2829276049891318
87,2022-08-26 00:00:00,1.1797634401959898,127533176.17374226,op,1.5245660802123915,1.600649704035615,0.9928628144411126,1.2854800338780308,0.9928628144411126,1.2854800338780308,0.9928628144411126,1.2854800338780308
86,2022-08-25 00:00:00,1.2264628713820378,187711292.1879545,op,1.5126183368415012,1.5963334452285631,0.9907145313864589,1.2862749622784082,0.9907145313864589,1.2862749622784082,0.9907145313864589,1.2862749622784082
85,2022-08-24 00:00:00,1.333098446718018,283341220.54399943,op,1.4984891758608223,1.5921960910675157,0.9879732716190684,1.2869443449093112,0.9879732716190684,1.2869443449093112,0.9879732716190684,1.2869443449093112
