,tribe,address,score,attempts
280,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:13,102,2
281,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:390,101,3
282,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:487,101,1
283,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:153,100,1
284,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:375,97,2
285,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:44,92,2
286,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:799,90,3
287,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:59,90,1
288,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:230,89,14
289,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:586,89,1
290,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:453,88,5
291,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:225,86,10
292,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:171,86,2
293,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:89,85,1
294,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:48,83,2
295,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:67,83,16
296,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:41,82,8
297,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:37,81,2
298,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:539,81,3
299,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:224,79,3
300,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:180,79,3
301,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:255,75,8
302,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:118,75,3
303,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:247,69,2
304,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:288,64,1
305,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:213,63,13
306,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:187,56,4
307,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:235,53,3
308,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:142,52,2
309,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:183,52,5
310,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:199,51,2
