,chain,pool_address,pool_name,pool_symbol,pool_assetType_mapped,pool_poolType,pool_coinNames,latest_tvl_usd,avg_daily_volume_usd,totalDailyFeesUSD,days_of_trading
94,mainnet,0x141ace5fd4435fd341e396d579c91df99fed10d4,Curve.fi Factory USD Metapool: pBTC+sBTC/wBTC,pbtc-sw3CRV-f,BTC,STABLE_FACTORY,"crvWSBTC,pBTC",43329.24896919488,8123.913955538902,3.249565582215561,58
95,mainnet,0x1570af3df649fc74872c5b8f280a162a3bdd4eb6,Curve.fi Factory Crypto Pool: ibEUR/USDC,ibEURUSDC-f,Crypto,CRYPTO_FACTORY,"USDC,ibEUR",1408198.9401460136,1968.2604593834649,1.7198729421225334,177
96,mainnet,0x1631d0e588d475cee4be0f51b7410daaaabd7034,Curve.fi Factory Crypto Pool: ETH/FRAX,ethfrax-f,Crypto,CRYPTO_FACTORY,"FRAX,WETH",10964.61504905069,25.15680428548412,0.10145704055187595,85
97,mainnet,0x167de3887edebe5012544373c5871481bd95cc4e,Curve.fi Factory Crypto Pool: RAI/LUSD-4,RAILUSD-4-f,Crypto,CRYPTO_FACTORY,"LUSD,RAI",62942.22186941185,1510.8084845819378,0.6663275783634117,2
98,mainnet,0x1977870a4c18a728c19dd4eb6542451df06e0a4b,Curve.fi Factory Plain Pool: ApeUSD-FRAX,ApeUSDFRAX-f,USD,STABLE_FACTORY,"ApeUSD,FRAX",14715.65754926323,65.07353905840209,0.026029415623360835,179
99,mainnet,0x19b080fe1ffa0553469d20ca36219f17fcf03859,Curve.fi Factory Plain Pool: ibEUR/sEUR,ibEUR+sEUR-f,Other,STABLE_FACTORY,"ibEUR,sEUR",3108869.585932361,178708.4759892723,71.48339039570892,179
100,mainnet,0x1c899ded01954d0959e034b62a728e7febe593b0,Curve.fi Factory Plain Pool: stLINK/LINK,stLINK-f,Other,STABLE_FACTORY,"LINK,stLINK",768057.222857014,224501.84664504716,89.80073865801886,59
101,mainnet,0x20955cb69ae1515962177d164dfc9522feef567e,Curve.fi Factory USD Metapool: Ubiquity Algorithmic Dollar,uAD3CRV-f,USD,METAPOOL_FACTORY,"3Crv,uAD",67877.86228745416,1455.5924620341702,0.582236984813668,179
102,mainnet,0x21410232b484136404911780bc32756d5d1a9fa9,Curve.fi Factory Crypto Pool: KP3R/ETH,KP3RETH-f,Crypto,CRYPTO_FACTORY,"KP3R,WETH",6046537.980779241,54889.97257795217,209.9184435691726,179
103,mainnet,0x21d158d95c2e150e144c36fc64e3653b8d6c6267,Curve.fi Factory Crypto Pool: cvxFxs/FraxBP,cvxFxsFrax-f,Crypto,CRYPTO_FACTORY,"crvFRAX,cvxFXS",4870580.561069471,113378.40441733049,449.1857853677331,160
104,mainnet,0x2863a328a0b7fc6040f11614fa0728587db8e353,Curve.fi Factory USD Metapool: multiBTC+WBTC/sBTC,multibtc3CRV-f,BTC,STABLE_FACTORY,"crvWSBTC,multiBTC",6872357.598532013,330958.1891760368,132.38327567041475,54
105,mainnet,0x28b0cf1bafb707f2c6826d10caf6dd901a6540c5,Curve.fi Factory USD Metapool: Zunami UZD/3CRV,UZD3CRV-f,USD,STABLE_FACTORY,"3Crv,UZD",15863.136997528796,20532.52155887527,8.213008623550108,28
106,mainnet,0x2b26239f52420d11420bc0982571bfe091417a7d,Curve.fi Factory USD Metapool: MIC2,MIC23CRV-f,USD,METAPOOL_FACTORY,"3Crv,MIC2",152581.15891978276,1914.4890206125574,0.765795608245023,179
107,mainnet,0x2dded6da1bf5dbdf597c45fcfaa3194e53ecfeaf,Curve.fi cyDAI/cyUSDC/cyUSDT,ib3CRV,USD,LENDING,"cyDAI,cyUSDC,cyUSDT",7695234.423134339,841811.4954320586,505.08689725923506,179
108,mainnet,0x31c325a01861c7dbd331a9270296a31296d797a0,Curve.fi Factory Crypto Pool: cvxCrv/FraxBP,cvxCrvFrax-f,Crypto,CRYPTO_FACTORY,"crvFRAX,cvxCRV",5110142.866174722,109919.71483752846,430.70118394921957,159
109,mainnet,0x3211c6cbef1429da3d0d58494938299c92ad5860,Curve.fi Factory Crypto Pool: STG/USDC,STGUSDC-f,Crypto,CRYPTO_FACTORY,"STG,USDC",33847885.79318572,1553552.6670640283,5578.422912520997,179
